,address,categories,city,country,latitude,longitude,name,postalCode,state
0,800 N Canal Blvd,American Restaurant and Fast Food Restaurant,Thibodaux,US,29.814697,-90.814742,SONIC Drive In,70301,Louisiana
1,800 N Canal Blvd,Fast Food Restaurants,Thibodaux,US,29.814697,-90.814742,SONIC Drive In,70301,Louisiana
2,206 Wears Valley Rd,Fast Food Restaurant,Pigeon Forge,US,35.803788,-83.580553,Taco Bell,37863,Tennessee
3,3652 Parkway,Fast Food,Pigeon Forge,US,35.782339,-83.551408,Arby's,37863,Tennessee
4,2118 Mt Zion Parkway,Fast Food Restaurant,Morrow,US,33.562738,-84.321143,Steak 'n Shake,30260,Georgia
5,9768 Grand River Ave,Fast Food Restaurant,Detroit,US,42.368823,-83.138251,Wendy's,48204,Michigan
6,13600 W McNichols Rd,Fast Food Restaurant,Detroit,US,42.416819,-83.180444,Burger King,48235,Michigan
7,4111 Oceanside Blvd,Fast Food,Oceanside,US,33.205722,-117.288645,Chipotle Mexican Grill,92056,California
8,162 Old Country Rd,Fast Food Restaurants,Riverhead,US,40.937359,-72.650142,7-Eleven,11901,New York
9,1407 S Stockton Ave,Fast Food Restaurant,Monahans,US,31.580721,-102.891455,Dairy Queen,79756,Texas
10,208 W Mason St,Fast Food Restaurant and Ice Cream Shop,Mabank,US,32.36602,-96.103364,Dairy Queen,75147,Texas
11,5801 Highway 6,Ice Cream Shop and Fast Food Restaurant,Missouri City,US,29.570079,-95.568166,Dairy Queen,77459,Texas
12,3454 Manchester Rd,Fast Food Restaurant,Akron,US,41.005682,-81.555774,Mr. Hero,44319,Ohio
13,1500 E Main St,Fast Food Restaurants,Eastland,US,32.401088,-98.790162,Golden Chick,76448,Texas
14,1190 W Foothill Blvd,Fast Food Restaurant,Azusa,US,34.133291,-117.924566,Carl's Jr,91702,California
15,601 N Main St,Fast Food Restaurants,Summerville,US,33.026572,-80.169733,Checkers,29483,South Carolina
16,1927 Woodville Road,Fast Food,Oregon,US,41.627298,-83.502436,Rally's,43616,Ohio
17,6316 W 89th St,Fast Food,Los Angeles,US,33.955923,-118.396443,Togo's,90045,California
18,3105 Highway 80 E,Fast Food Restaurants,Pearl,US,32.282328,-90.11677,Rally's,39208,Mississippi
19,2860 E Paris Ave SE,Fast Food Restaurant,Grand Rapids,US,42.91147,-85.56812,Checkers,49512,Michigan
20,2424 E State Road 44,Fast Food Restaurant,Shelbyville,US,39.523704,-85.743659,Rally's,46176,Indiana
21,1611 Broadway,Fast Food,Brooklyn,US,40.685506,-73.914457,Checkers,11207,New York
22,1720 Walton Way,Fast Food Restaurants,Augusta,US,33.475292,-81.995946,Checkers,30904,Georgia
23,17620 Grand River Ave,Fast Food Restaurant,Detroit,US,42.400037,-83.21574,Checkers,48227,Michigan
24,196 Massachusetts Ave,Fast Food Restaurants,Arlington,US,42.405651,-71.14212,Little Q Hot Pot,2474,Massachusetts
25,1224 State St,Fast Food,Schenectady,US,42.79792,-73.924364,McDonald's,12304,New York
26,1232 Ulster Ave,Fast Food Restaurant,Kingston,US,41.967079,-73.988583,McDonald's,12401,New York
27,1188 Avenue of The Americas,Fast Food Restaurant,New York,US,40.757558,-73.981671,McDonald's,10036,New York
28,114 Delancey St,Fast Food Restaurant,New York,US,40.718943,-73.988306,McDonald's,10002,New York
29,1050 Front St,Fast Food Restaurants,Uniondale,US,40.709646,-73.591453,McDonald's,11553,New York
30,105 Jericho Tpke,Fast Food Restaurant,Jericho,US,40.780233,-73.55934,McDonald's,11753,New York
31,105 Jericho Tpke,Fast Food,Jericho,US,40.780233,-73.55934,McDonald's,11753,New York
32,106 Wolf Rd,Fast Food Restaurants,Albany,US,42.716812,-73.809319,McDonald's,12205,New York
33,101 E 170th St,Fast Food,Bronx,US,40.839569,-73.915927,McDonald's,10452,New York
34,103 Brookview Dr,Fast Food,Schenectady,US,42.741061,-73.913673,McDonald's,12303,New York
35,1028 Mckinley Pkwy,Fast Food Restaurants,Buffalo,US,42.857899,-78.825089,McDonald's,14220,New York
36,10 Main St,Fast Food Restaurants,Tonawanda,US,43.021019,-78.878167,McDonald's,14150,New York
37,300 Mishawum Rd,Fast Food,Woburn,US,42.503903,-71.132748,McDonald's,1801,Massachusetts
38,1190 Providence Rd,Fast Food Restaurant,Whitinsville,US,42.125526,-71.645913,McDonald's,1588,Massachusetts
39,212 Main St,Fast Food,Wilmington,US,42.557448,-71.181499,McDonald's,1887,Massachusetts
40,44 E Main St,Fast Food,Webster,US,42.055826,-71.873999,McDonald's,1570,Massachusetts
41,789 Main St,Fast Food,Waltham,US,42.376247,-71.241667,McDonald's,2451,Massachusetts
42,20 Main St,Fast Food Restaurant,Townsend,US,42.650503,-71.662674,McDonald's,1469,Massachusetts
43,595 Main St,Fast Food Restaurant,Walpole,US,42.157222,-71.243549,McDonald's,2081,Massachusetts
44,282 Winthrop St,Fast Food,Taunton,US,41.88896,-71.120789,McDonald's,2780,Massachusetts
45,660 Liberty St,Fast Food,Springfield,US,42.12193,-72.584242,McDonald's,1104,Massachusetts
46,360 Main St,Fast Food Restaurants,Springfield,US,42.091561,-72.579647,McDonald's,1105,Massachusetts
47,2392 Main St,Fast Food Restaurants,Springfield,US,42.111552,-72.603359,McDonald's,1107,Massachusetts
48,1402 Allen St,Fast Food Restaurant,Springfield,US,42.095053,-72.512539,McDonald's,1118,Massachusetts
49,1610 Boston Rd,Fast Food Restaurants,Springfield,US,42.142989,-72.48923,McDonald's,1129,Massachusetts
50,59 W Main St,Fast Food Restaurants,Spencer,US,42.23341,-72.012516,McDonald's,1562,Massachusetts
51,59 W Main St,Fast Food,Spencer,US,42.23341,-72.012516,McDonald's,1562,Massachusetts
52,1433 SW 107th Ave,Fast Food Restaurant,Miami,US,25.754984,-80.368058,Five Guys,33174,Florida
53,1601 W Kirby St,Fast Food Restaurant and Mexican Restaurant,Wylie,US,33.007329,-96.554127,Taco Bell,75098,Texas
54,7425 S Broadway Ave,Fast Food Restaurant,Tyler,US,32.274786,-95.306757,Taco Bell,75703,Texas
55,100 Business Loop 70 E,Fast Food Restaurants,Columbia,US,38.964944,-92.336364,Burger King,65203,Missoui
56,615 Martin Luther King Jr Blvd,Fast Food Restaurant and Burger Joint,Savannah,US,32.070343,-81.101032,Wendy's,31401,Georgia
57,1123 Roswell Rd,Fast Food Restaurant and Burger Joint,Marietta,US,33.95111,-84.518962,Wendy's,30062,Georgia
58,273 Keys Ferry St,Fast Food Restaurants,McDonough,US,33.446887,-84.138326,Wendy's,30253,Georgia
59,1117 W Spring St,Fast Food Restaurant,Monroe,US,33.792748,-83.731443,Wendy's,30655,Georgia
60,430 S Belair Rd,Fast Food Restaurants,Augusta,US,33.486344,-82.13351,Wendy's,30907,Georgia
61,2341 N Columbia St,Fast Food Restaurant,Milledgeville,US,33.108582,-83.254192,Wendy's,31061,Georgia
62,260 Cooper Rd,Fast Food Restaurant and Burger Joint,Loganville,US,33.880381,-83.939657,Wendy's,30052,Georgia
63,4331 Atlanta Hwy,Fast Food Restaurant,Loganville,US,33.839726,-83.905798,Wendy's,30052,Georgia
64,3015 Panola Rd,Fast Food Restaurant,Lithonia,US,33.699522,-84.17274,Wendy's,30038,Georgia
65,184 Endicott St,Fast food restaurants,Danvers,US,42.547923,-70.942014,Burger King,1923,Massachusetts
66,1291 Boston Rd,Fast Food Restaurants,Springfield,US,42.140526,-72.50087,Boston Road Pizza,1119,Massachusetts
67,6134 State Route 14,Fast Food Restaurant,Ravenna,US,41.157059,-81.219054,McDonald's,44266,Ohio
68,4402 Little Rd,Fast Food Restaurant,Arlington,US,32.679467,-97.195027,Boston Market,76016,Texas
69,15 Highland Ave,Fast Food Restaurants,Attleboro,US,41.92023235,-71.35787658,D'Angelo Grilled Sandwiches,2703,Massachusetts
70,2992 Jamacha Rd,Fast Food,El Cajon,US,32.739923,-116.942156,Burger King,92019,California
71,706 Fletcher Pkwy,Fast Food Restaurants,El Cajon,US,32.80827,-116.97137,Boston Market,92020,California
72,706 Fletcher Pkwy,Fast Food Restaurant,El Cajon,US,32.80827,-116.97137,Boston Market,92020,California
73,822 N Johnson Ave,Fast food restaurants,El Cajon,US,32.805945,-116.971542,Burger King,92020,California
74,2819 Easton Rd,Fast Food Restaurants,Willow Grove,US,40.170877,-75.127393,Nino's Pizzarama,19090,Pennsylvania
75,8924 Sierra Ave,Fast Food Restaurant,Fontana,US,34.091528,-117.43637,Carl's Jr,92335,California
76,18025 Ventura Blvd,Fast Food,Encino,US,34.16469,-118.52474,Carl's Jr,91316,California
77,242 N El Camino Real,Fast food restaurants,Encinitas,US,33.051949,-117.260994,Burger King,92024,California
78,9002 Firestone Blvd,Fast Food Restaurant,Downey,US,33.93527552,-118.1238946,Carl's Jr,90241,California
79,9110 Imperial Hwy,Fast Food Restaurants,Downey,US,33.91684597,-118.1337577,Carl's Jr,90242,California
80,962 Garnet Ave,Fast Food Restaurants,San Diego,US,32.797188,-117.2525,Filippi's Pizza Grotto,92109,California
81,7011 Barker Cypress Rd,Fast food restaurants,Cypress,US,29.88081,-95.683922,Burger King,77433,Texas
82,7011 Barker Cypress Rd,Fast Food Restaurant and Burger Joint,Cypress,US,29.88081,-95.683922,Burger King,77433,Texas
83,2180 Contra Costa Blvd,Fast Food Restaurant,Pleasant Hill,US,37.946879,-122.060174,Boston Market,94523,California
84,3035 Castro Valley Blvd,Fast Food,Castro Valley,US,37.695437,-122.081735,Jack in the Box,94546,California
85,4302 Moorpark Ave,Fast Food,San Jose,US,37.315904,-121.977843,Round Table Pizza,95129,California
86,1751 S Alameda St,Fast Food Restaurants,Compton,US,33.894566,-118.220228,El Pollo Loco,90220,California
87,2244 Otay Lakes Rd,Fast Food Restaurant,Chula Vista,US,32.646857,-116.967527,Arby's,91915,California
88,962 East Ave,Fast food restaurants,Chico,US,39.76117,-121.842187,Burger King,95926,California
89,1170 W Branch St,Fast Food Restaurants,Arroyo Grande,US,35.1273,-120.598,In-N-Out Burger,93420,California
90,73196 Highway 111,Fast Food Restaurants,Palm Desert,US,33.72118,-116.38791,Copper Oven Artisan Pizza,92260,California
91,20900 Roscoe Blvd,Fast Food Restaurant,Canoga Park,US,34.218957,-118.58903,Carl's Jr,91304,California
92,1760 41st Ave,Fast Food Restaurant,Capitola,US,36.975287,-121.963929,McDonald's,95010,California
93,401 Las Posas Rd,Fast Food Restaurant,Camarillo,US,34.221478,-119.070243,Carl's Jr,93010,California
94,2871 Lenwood Rd,"Fast Food Restaurant, Mexican Restaurant, and Taco Place",Barstow,US,34.867566,-117.114747,Del Taco,92311,California
95,12690 Ramona Blvd,Fast Food Restaurant,Baldwin Park,US,34.077713,-117.996169,Del Taco,91706,California
96,1210 N Hacienda Blvd,Fast Food,La Puente,US,34.0422696,-117.9493495,Little Caesars Pizza,91744,California
97,562 N Main St,Fast Food Restaurant,Bishop,US,37.365314,-118.39508,McDonald's,93514,California
98,1310 E Lamar St,Fast Food Restaurants,Americus,US,32.07128,-84.216974,McDonald's,31709,Georgia
99,2009 E Greenville St,Fast Food Restaurant,Anderson,US,34.54701,-82.6319,Burger King,29621,South Carolina
100,2521 W Commonwealth Ave,Fast Food Restaurant,Alhambra,US,34.088183,-118.151437,Carl's Jr,91803,California
101,3450 Wrightsboro Rd Ste 2340,Fast Food Restaurants,Augusta,US,33.46734,-82.07989,Sbarro,30909,Georgia
102,810 Oak Ave,Fast Food,Neoga,US,39.321895,-88.451273,Casey's General Store,62447,Illinois
103,701 S Van Buren St,Fast Food,Newton,US,38.983809,-88.161001,Casey's General Store,62448,Illinois
104,9175 De Soto Ave,Fast Food Restaurants,Chatsworth,US,34.23765,-118.58919,Chipotle Mexican Grill,91311,California
105,328 N Main St,Fast Food Restaurants,Cedartown,US,34.017911,-85.253614,McDonald's,30125,Georgia
106,3025 Main St,Fast food restaurants,Glastonbury,US,41.726353,-72.617608,Burger King,6033,Connecticut
107,2834 Main St,"American Restaurant, Sandwich Place, and Fast Food Restaurant",Glastonbury,US,41.720514,-72.614164,Boston Market,6033,Connecticut
108,605 E Broadway St,Fast Food Restaurant,Campbellsville,US,37.346447,-85.337368,McDonald's,42718,Kentucky
109,1602 E Broadway St,Fast Food Restaurant,Campbellsville,US,37.357213,-85.323654,SUBWAY,42718,Kentucky
110,1475 Holiday Ln,Fast food restaurants,Fairfield,US,38.259527,-122.062146,Burger King,94534,California
111,1442 Winchester Ave,Fast Food Restaurants,Ashland,US,38.4791,-82.6411,Fat Patty's,41101,Kentucky
112,12759 Us Route 60,Fast Food Restaurants,Ashland,US,38.3887,-82.7156,Dairy Queen,41102,Kentucky
113,1439 S US Highway 1,Fast Food Restaurants,Fort Pierce,US,27.4357,-80.326,Pizza Hut,34950,Florida
114,12915 Cortez Blvd,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Brooksville,US,28.534187,-82.516103,Arby's,34613,Florida
115,11671 Se Federal Hwy,Fast Food Restaurant,Hobe Sound,US,27.06168,-80.13746,McDonald's,33455,Florida
116,8792 Navarre Pkwy,Burger Joint and Fast Food Restaurant Gulf Breeze,Navarre,US,30.403772,-86.85506,Culver's,32566,Florida
117,825 E 49th St,Fast food restaurants,Hialeah,US,25.867613,-80.266376,Burger King,33013,Florida
118,2750 W 68th St Ste 104,Fast Food,Hialeah,US,25.882938,-80.33868,Pizza Hut,33016,Florida
119,36172 Hwy 27,Fast Food,Haines City,US,28.125757,-81.64043,Dairy Queen,33844,Florida
120,52 Tuscan Way Ste 208,Fast Food Restaurants,Saint Augustine,US,29.96174,-81.49109,Pizza Hut,32092,Florida
121,1232 Providence Blvd,Fast Food Restaurant,Deltona,US,28.8829,-81.2413,KFC,32725,Florida
122,2370 US Highway 331 S,Fast food restaurants,DeFuniak Springs,US,30.68782,-86.12318,McDonald's,32435,Florida
123,1508 US Highway 331 S,Fast Food Restaurant,DeFuniak Springs,US,30.70032,-86.12317,SONIC Drive-In,32435,Florida
124,2434 US Highway 331 S,Fast Food Restaurants,DeFuniak Springs,US,30.68693,-86.12329,Whataburger,32435,Florida
125,9975 Corkscrew Rd,"Fast Food Restaurant, Sandwich Place, and American Restaurant",Estero,US,26.432003,-81.789408,Arby's,33928,Florida
126,519 Brandon Town Center Mall,Fast Food Restaurants,Brandon,US,27.928097,-82.324836,Chick-Fil-A,33511,Florida
127,865 S Main St,Fast Food Restaurant,Belle Glade,US,26.67511,-80.67,Taco Bell,33430,Florida
128,339 US Highway 27 S,Fast Food Restaurant,Avon Park,US,27.596742,-81.494029,McDonald's,33825,Florida
129,1498 US Highway 17 N,Fast Food Restaurants,Wauchula,US,27.56904,-81.81521,Pizza Hut,33873,Florida
130,1608 W Orange Blossom Trl,Fast Food,Apopka,US,28.68587218,-81.53919026,Firehouse Subs,32712,Florida
131,460 Airways Ave,Fast Food Restaurant,Savannah,US,32.135603,-81.208243,Burger King,31408,Georgia
132,1510 N Summit St,Fast Food Restaurant,Arkansas City,US,37.08012,-97.03938,SONIC Drive-In,67005,Kansas
133,2613 Central Ave,Fast Food Restaurants,Dodge City,US,37.77885,-100.01663,McDonald's,67801,Kansas
134,2501 Se Delaware Ave,Fast Food Restaurants,Ankeny,US,41.704627,-93.580975,Burger King,50021,Iowa
135,2501 Se Delaware Ave,Fast Food Restaurant,Ankeny,US,41.704627,-93.580975,Burger King,50021,Iowa
136,134 W Kamehameha Ave,Fast Food Restaurants,Kahului,US,20.8874,-156.4698,Cupie's Drive-In,96732,Hawaii
137,230 S Duff Ave,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Ames,US,42.02045,-93.60967,Chick-Fil-A,50010,Iowa
138,2817 E 13th St,Fast Food Restaurants,Ames,US,42.03511,-93.57344,Burger King,50010,Iowa
139,1020 E 1st St,Fast Food Restaurant,Ankeny,US,41.732374,-93.582329,Burger King,50021,Iowa
140,2450 S Vista Ave,Fast Food Restaurants,Boise,US,43.580339,-116.213106,Pizza Hut,83705,Idaho
141,1807 N Church St,Fast food restaurants,Burlington,US,36.09503,-79.408,Burger King,27217,North Carolina
142,2535 18th St,Fast Food Restaurants,Bettendorf,US,41.548648,-90.504798,Dairy Queen,52722,Iowa
143,9320 Steele Creek Rd,Fast Food Restaurant,Charlotte,US,35.16361,-80.96889,McDonald's,28273,North Carolina
144,9640 Mariposa Rd,Fast Food Restaurant,Hesperia,US,34.425812,-117.378018,Burger King,92344,California
145,17021 Main St,Fast food restaurants,Hesperia,US,34.419638,-117.291579,Burger King,92345,California
146,14485 Inglewood Ave,Fast Food Restaurant,Hawthorne,US,33.899881,-118.361657,Del Taco,90250,California
147,18070 Chatsworth St,Fast Food Restaurant,Granada Hills,US,34.264517,-118.526782,Del Taco,91344,California
148,1200 Forrest Ave,Fast Food Restaurant,Dover,US,39.158375,-75.550267,Arby's,19904,Delaware
149,1200 Forrest Ave,Fast Food Restaurants,Dover,US,39.158375,-75.550267,Arby's,19904,Delaware
150,300 Mccarter Rd,Fast Food Restaurants,Fountain Inn,US,34.68534,-82.19727,McDonald's,29644,South Carolina
151,2040 Cumberland St,Fast Food Restaurant,Lebanon,US,40.33873,-76.447826,Burger King,17042,Pennsylvania
152,1451 Quentin Rd,Fast Food Restaurants,Lebanon,US,40.31787,-76.42396,Chipotle Mexican Grill,17042,Pennsylvania
153,609 Naamans Rd,Fast Food Restaurants,Claymont,US,39.81718,-75.45715,Taco Bell,19703,Delaware
154,5800 W Chandler Blvd,Fast Food,Chandler,US,33.30628,-111.94409,Pizza Hut,85226,Arizona
155,1205 Commons Cir,Fast Food Restaurants,Plover,US,44.49541,-89.51668,McDonald's,54467,Wisconsin
156,1099 S Blackhawk St,"Restaurant, Fast Food Restaurant, and Sandwich Place",Aurora,US,39.697205,-104.824323,Arby's,80012,Colorado
157,406 N Pershing St,Fast Food Restaurants,Energy,US,37.77743,-89.02603,Primo's Pizza,62933,Illinois
158,201 Lee Town Rd,Fast Food Restaurants,Pea Ridge,US,36.44176,-94.114426,Simple Simon's Pizza,72751,Arkansas
159,3067 Wilma Rudolph Blvd,Fast Food Restaurants,Clarksville,US,36.594351,-87.287425,Arby's,37040,Tennessee
160,1635 W State St,Fast Food Restaurants,Alliance,US,40.90199,-81.12966,Dairy Queen,44601,Ohio
161,5311 Highway 5 N Ste 240,Fast Food Restaurants,Bryant,US,34.623,-92.50348,CASA Mexicana,72022,Arkansas
162,3001 N Reynolds Rd,Fast Food Restaurant,Bryant,US,34.623419,-92.499052,Burger King,72022,Arkansas
163,2275 E Butler Ave,Fast Food Restaurants,Flagstaff,US,35.192109,-111.624197,Burger King,86004,Arizona
164,1818 6th St,Fast Food Restaurants,Brookings,US,44.31095,-96.77414,Arby's,57006,South Dakota
165,1818 6th St,"Fast Food Restaurant, Sandwich Place, and American Restaurant",Brookings,US,44.31095,-96.77414,Arby's,57006,South Dakota
166,3051 W Apache Trl,Fast Food,Apache Junction,US,33.41508,-111.57884,KFC,85120,Arizona
167,Route 52 Airport Square,Fast Food Restaurants,Bluefield,US,37.28415,-81.25128,Burger King,24701,West Virginia
168,102 Harper Park Dr,Fast Food Restaurants,Beckley,US,37.793559,-81.217557,Bob Evans,25801,West Virginia
169,1912 Harper Rd,Fast Food Restaurants,Beckley,US,37.790326,-81.210547,Pizza Hut,25801,West Virginia
170,1855 Deerfield Rd,Fast Food Restaurants,Highland Park,US,42.17114472,-87.82489848,Players Grill,60035,Illinois
171,3 Clarksburg Rd,Fast Food Restaurants,Buckhannon,US,38.997749,-80.233242,Burger King,26201,West Virginia
172,302 Yellowstone Ave,Fast Food,Cody,US,44.51606,-109.08971,Arby's,82414,Wyoming
173,1902 Mountain View Dr,Fast Food Restaurant,Cody,US,44.51459,-109.05084,Burger King,82414,Wyoming
174,5320 Yellowstone Rd,Fast Food Restaurants,Cheyenne,US,41.16767,-104.828636,Pizza Hut,82009,Wyoming
175,1100 Poplar View Ln N,Fast Food Restaurants,Collierville,US,35.0492,-89.69907,Back Yard Burgers,38017,Tennessee
176,967 W Poplar Ave,Fast Food Restaurants,Collierville,US,35.04561,-89.6942,Arby's,38017,Tennessee
177,2607 Cy Ave,Fast Food Restaurants,Casper,US,42.82804,-106.354802,Arby's,82604,Wyoming
178,1860 N Germantown Pkwy,Fast Food Restaurants,Cordova,US,35.175914,-89.792333,Arby's,38016,Tennessee
179,310 W Grand Xing,Fast Food Restaurants,Mobridge,US,45.53751,-100.43688,SUBWAY,57601,South Dakota
180,1502 N Clinton St,Fast Food,Defiance,US,41.303027,-84.361279,Arby's,43512,Ohio
181,1133 N Clinton St,Fast Food Restaurants,Defiance,US,41.301426,-84.360818,Pizza Hut,43512,Ohio
182,11 W Dayton Yellow Springs Rd,Fast Food Restaurants,Fairborn,US,39.783394,-84.006478,Pizza Hut,45324,Ohio
183,1205 6th Ave Se,Fast Food,Aberdeen,US,45.459587,-98.469823,Arby's,57401,South Dakota
184,2260 Highway 394,Fast Food Restaurant,Blountville,US,36.524041,-82.312707,McDonald's,37617,Tennessee
185,214 Carolina Pottery Dr,Fast food restaurants,Blountville,US,36.534114,-82.390053,McDonald's,37617,Tennessee
186,1313 Highway 394,Fast Food Restaurant,Blountville,US,36.541865,-82.33235,Arby's,37617,Tennessee
187,1313 Highway 394,Fast Food,Blountville,US,36.541865,-82.33235,Arby's,37617,Tennessee
188,100 Prince Royal Dr,Fast Food Restaurants,Berea,US,37.568606,-84.311046,Burger King,40403,Kentucky
189,16311 State Route 267,Fast Food Restaurants,East Liverpool,US,40.66428,-80.62041,Italo's Pizza,43920,Ohio
190,900 W 8th St,Ice Cream Shop and Fast Food Restaurant,East Liverpool,US,40.62539,-80.59109,Dairy Queen,43920,Ohio
191,723 Saratoga Ave,Fast Food Restaurants,Lima,US,40.73101,-84.07296,Hunan Gardens,45804,Ohio
192,23777 Us Route 23,Fast Food Restaurant,Circleville,US,39.58426871,-82.95390414,Burger King,43113,Ohio
193,414 Water St,Fast food restaurants,Chardon,US,41.580901,-81.210168,Burger King,44024,Ohio
194,2005 S Main St,Fast Food Restaurant,Bellefontaine,US,40.331939,-83.761451,Burger King,43311,Ohio
195,2000 E Edgerton Rd,Fast Food Restaurants,Broadview Heights,US,41.29553,-81.67674,Burger King,44147,Ohio
196,10037 Broadview Rd,Fast Food Restaurant,Broadview Heights,US,41.293022,-81.68467,Burger King,44147,Ohio
197,475 Chippewa Mall Dr,Fast Food Restaurants,Chippewa Falls,US,44.92456,-91.38189,Toppers Pizza,54729,Wisconsin
198,212 S 7th St,Fast Food Restaurants,Delavan,US,42.63089,-88.63918,Hernandez Mexican Restaurant,53115,Wisconsin
199,1931 E Geneva St,Fast Food Restaurant,Delavan,US,42.627712,-88.621712,Culver's,53115,Wisconsin
200,2680 Market St,Fast food restaurants,Christiansburg,US,37.16537,-80.422283,Burger King,24073,Virginia
201,2650 Market St,Fast Food Restaurant,Christiansburg,US,37.166086,-80.422225,Arby's,24073,Virginia
202,2680 Market St,Fast Food Restaurant,Christiansburg,US,37.16537,-80.422283,Burger King,24073,Virginia
203,1004 S Main St,Fast food restaurants,Farmville,US,37.289041,-78.397491,Burger King,23901,Virginia
204,1709 Allied Ln,Fast Food Restaurants,Charlottesville,US,38.04129,-78.47775,Glorious Foods Gourmet to go & Catering,22903,Virginia
205,1835 Ne Division St,Fast Food Restaurants,Gresham,US,45.50516,-122.41273,Little Caesars Pizza,97030,Oregon
206,9575 Dyer St,Fast Food Restaurants,El Paso,US,31.88498,-106.418612,Arby's,79924,Texas
207,2202 N Richmond Rd,Fast Food Restaurants,Wharton,US,29.33102,-96.09457,Pizza Hut,77488,Texas
208,3120 W Fm 120,Fast Food Restaurants,Denison,US,33.762134,-96.581587,Burger King,75020,Texas
209,1705 Expressway 83,Fast Food Restaurants,Penitas,US,26.243395,-98.4423,McDonald's,78576,Texas
210,2280 E Garrison St,Fast Food Restaurant,Eagle Pass,US,28.70574,-100.48395,Burger King,78852,Texas
211,2207 Veterans Blvd,Fast Food Restaurants,Del Rio,US,29.38843,-100.90521,Chick-Fil-A,78840,Texas
212,2208 Highway 21 E,Fast Food Restaurant,Bryan,US,30.69488984,-96.36236943,Burger King,77803,Texas
213,1216 W Henderson St,Fast Food Restaurants,Cleburne,US,32.342149,-97.402765,Schlotzsky's,76033,Texas
214,801 Ne Alsbury Blvd,"Restaurant, Fast Food Restaurant, and Sandwich Place",Burleson,US,32.563248,-97.322393,Arby's,76028,Texas
215,1105 N Burleson Blvd,Fast Food Restaurant,Burleson,US,32.566362,-97.319315,Chick-Fil-A,76028,Texas
216,5301 Bellaire Blvd,Fast Food Restaurant and Burger Joint,Bellaire,US,29.70529415,-95.4730184,Burger King,77401,Texas
217,3824 S Clack St,Fast Food Restaurant,Abilene,US,32.405234,-99.764985,Arby's,79606,Texas
218,2305 N Saint Marys St,American Restaurant and Fast Food Restaurant,Beeville,US,28.421414,-97.756843,Golden Chick,78102,Texas
219,90571 Main St,Fast Food Restaurants,Pettus,US,28.847141,-97.44154,Dairy Queen,78146,Texas
220,210 W Sinton St,Fast Food Restaurants,Sinton,US,28.03704,-97.51219,Pizza Hut,78387,Texas
221,96 Cannan Dr,Fast Food Restaurants,Angleton,US,29.18105,-95.44666,Chicken Express,77515,Texas
222,1890 Bethlehem Pike,Fast Food Restaurant and Playground,Flourtown,US,40.111177,-75.214144,McDonald's,19031,Pennsylvania
223,707 Washington Ave,Fast Food,Chestertown,US,39.224652,-76.06993,Arby's,21620,Maryland
224,707 Washington Ave,Fast Food Restaurant,Chestertown,US,39.224652,-76.06993,Arby's,21620,Maryland
225,1201 E Main St,Fast food restaurants,Alice,US,27.75366,-98.06131,Big House Burgers,78332,Texas
226,8586 S Orange Blossom Trl,Fast Food,Orlando,US,28.44004,-81.4037,Arby's,32809,Florida
227,6385 Dobbin Rd,Fast food restaurants,Columbia,US,39.196116,-76.82101,McDonald's,21045,Maryland
228,6241 Washington Blvd,Fast Food Restaurant,Elkridge,US,39.208926,-76.724769,Burger King,21075,Maryland
229,505 S Oxford Valley Rd,Fast Food,Fairless Hills,US,40.169035,-74.849233,Arby's,19030,Pennsylvania
230,505 S Oxford Valley Rd,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Fairless Hills,US,40.169035,-74.849233,Arby's,19030,Pennsylvania
231,888 E Main St,Fast Food Restaurants,Ephrata,US,40.164651,-76.154297,Arby's,17522,Pennsylvania
232,1247 Theatre Dr,Fast Food Restaurants,Ottumwa,US,41.01903,-92.43745,Pizza Hut,52501,Iowa
233,470 Cummings St,Fast Food,Abingdon,US,36.705143,-81.974501,Arby's,24210,Virginia
234,470 Cummings St,Fast Food Restaurants,Abingdon,US,36.705143,-81.974501,Arby's,24210,Virginia
235,6308 Richmond Hwy,"Sandwich Place, Pizza Place, and Fast Food Restaurant",Alexandria,US,38.78022,-77.07939,Jerry's Subs & Pizza,22306,Virginia
236,6308 Richmond Hwy,Fast Food Restaurants,Alexandria,US,38.78022,-77.07939,Jerry's Subs & Pizza,22306,Virginia
237,1104 W High St,Fast Food Restaurants,Ebensburg,US,40.48025,-78.73658,Fox's Pizza Den,15931,Pennsylvania
238,285 Jamesway Rd,Fast Food Restaurants,Ebensburg,US,40.47425,-78.74575,Burger King,15931,Pennsylvania
239,4105 Peach St,Fast Food Restaurant,Erie,US,42.092031,-80.084087,Arby's,16509,Pennsylvania
240,3720 Pine Ave,"American Restaurant, Fast Food Restaurant, and Sandwich Place",Erie,US,42.108355,-80.050799,Arby's,16504,Pennsylvania
241,4868 Houston Rd,Fast Food Restaurant,Florence,US,39.019712,-84.628729,Burger King,41042,Kentucky
242,105 S 3rd St,Fast Food Restaurant and Burger Joint,Coopersburg,US,40.509286,-75.385827,Burger King,18036,Pennsylvania
243,1306 E Main St,Fast Food Restaurants,Clarion,US,41.20821,-79.36712,Pizza Pub,16214,Pennsylvania
