,address,categories,city,country,latitude,longitude,name,postalCode,state
3090,1675 N Perris Blvd,Fast Food Restaurants,Perris,US,33.802497,-117.226029,Pizza Hut,92571,California
3091,3601 Jamboree Rd,Fast Food,Newport Beach,US,33.656941,-117.864742,Pizza Hut,92660,California
3092,25098 Marguerite Pkwy,Fast Food Restaurants,Mission Viejo,US,33.598386,-117.656518,Pizza Hut,92692,California
3093,261 E 17th St,Fast Food,Costa Mesa,US,33.633964,-117.916642,Pizza Hut,92627,California
3094,17342 Beach Blvd,Fast Food Restaurants,Huntington Beach,US,33.710428,-117.988485,Pizza Hut,92647,California
3095,521 W Chapman Ave,Fast Food,Anaheim,US,33.788917,-117.913451,Pizza Hut,92802,California
3096,396 W Chapman Ave,Fast Food,Orange,US,33.787635,-117.856095,Pizza Hut,92866,California
3097,6471 Ball Rd,Fast Food,Cypress,US,33.817563,-118.019962,Pizza Hut,90630,California
3098,1751 N 1st St,Fast Food,San Jose,US,37.369631,-121.915647,Subway,95112,California
3099,12812 Rancho Penasquitos Blvd,Fast Food Restaurants,San Diego,US,32.951205,-117.107693,Subway,92129,California
3100,1734 Highway 17 N,Fast Food,Myrtle Beach,US,33.626315,-78.966956,McDonald's,29575,South Carolina
3101,4815 Highway 17 S,Fast Food,North Myrtle Beach,US,33.797642,-78.742227,McDonald's,29582,South Carolina
3102,308 W Wade Hampton Blvd,Fast Food Restaurants,Greer,US,34.948917,-82.234116,McDonald's,29650,South Carolina
3103,2244 Chesnee Hwy,Fast Food Restaurants,Spartanburg,US,35.022674,-81.894908,McDonald's,29303,South Carolina
3104,199 Cedar Springs Rd,Fast Food Restaurants,Spartanburg,US,34.921095,-81.886344,McDonald's,29302,South Carolina
3105,6005 W Jim Bilton Blvd,Fast Food Restaurants,Saint George,US,33.194955,-80.601662,McDonald's,29477,South Carolina
3106,1831 Georgia Ave,Fast Food,North Augusta,US,33.521008,-81.955464,McDonald's,29841,South Carolina
3107,8586 Rivers Ave,Fast Food Restaurant,Charleston,US,32.963466,-80.043024,McDonald's,29406,South Carolina
3108,3675 Saint Matthews Rd,Fast Food,Orangeburg,US,33.555368,-80.825857,McDonald's,29118,South Carolina
3109,250 Columbia Ave,Fast Food Restaurant,Lexington,US,33.986973,-81.243579,McDonald's,29072,South Carolina
3110,4364 Augusta Rd,Fast Food Restaurant,Lexington,US,33.97353,-81.154931,McDonald's,29073,South Carolina
3111,906 Highway 1 S,Fast Food Restaurants,Lugoff,US,34.22599,-80.679112,McDonald's,29078,South Carolina
3112,367 S Georgetown Hwy,Fast Food,Johnsonville,US,33.809554,-79.442454,McDonald's,29555,South Carolina
3113,103 Hammett Bridge Rd,"Fast Food Restaurant, Gas Station, and Burger Joint",Greer,US,34.915383,-82.237359,McDonald's,29650,South Carolina
3114,225 1st Ave,Fast Food Restaurants,New York,US,40.731006,-73.983114,Checkers,10003,New York
3115,225 1st Ave,Fast Food Restaurant,New York,US,40.731006,-73.983114,Checkers,10003,New York
3116,10136 Hawkinsville Rd,"Fast Food Restaurant, Burger Joint, and Restaurant",Warner Robins,US,32.659703,-83.618014,Krystal,31093,Georgia
3117,124 John R Rd,Fast Food Restaurant,Troy,US,42.535175,-83.106141,SONIC Drive In,48083,Michigan
3118,1700 S Pleasant Valley Rd,Hamburgers / Fast Food / Burgers,Austin,US,30.236888,-97.721834,Burger King,78741,Texas
3119,21006 Timberlake Rd,Fast Food Restaurant,Lynchburg,US,37.304998,-79.285456,Burger King,24502,Virginia
3120,1141 15th Ave,Fast Food Restaurant,Union Grove,US,42.681046,-88.053882,Burger King,53182,Wisconsin
3121,611 N Frontage Rd,Fast Food Restaurant,Wisconsin Dells,US,43.62319,-89.79383,Burger King,53965,Wisconsin
3122,5320 James Madison Pkwy,Fast Food Restaurant,King George,US,38.340674,-77.073788,Burger King,22485,Virginia
3123,111 N Pioneer Park Rd,Fast Food Restaurants,Westfield,US,43.888614,-89.485022,Burger King,53964,Wisconsin
3124,510 W Main St,Fast Food Restaurant,Waunakee,US,43.192028,-89.461891,Burger King,53597,Wisconsin
3125,343 E Highland Dr,Fast Food Restaurants,Oconto Falls,US,44.882759,-88.144544,Burger King,54154,Wisconsin
3126,333 Lincoln St,Fast Food Restaurants,Rhinelander,US,45.633351,-89.408019,Burger King,54501,Wisconsin
3127,740 E Saint Mary St,Fast Food Restaurant,Milton,US,42.76909,-88.937686,Burger King,53563,Wisconsin
3128,2000 E Main St,Fast Food Restaurants,Reedsburg,US,43.532467,-89.981502,Burger King,53959,Wisconsin
3129,984 N Shawano St,Fast Food Restaurant and Burger Joint,New London,US,44.402053,-88.743441,Burger King,54961,Wisconsin
3130,1520 Appleton Rd,Fast Food Restaurant and Burger Joint,Menasha,US,44.230574,-88.425395,Burger King,54952,Wisconsin
3131,2655 E Washington Ave,Fast Food Restaurant and Burger Joint,Madison,US,43.101665,-89.34748,Burger King,53704,Wisconsin
3132,2655 E Washington Ave,Fast food restaurants,Madison,US,43.101665,-89.34748,Burger King,53704,Wisconsin
3133,7206 Region Ln,Fast Food Restaurant,Knoxville,US,36.000345,-83.776813,Burger King,37914,Tennessee
3134,37091 6 Mile Road,Fast Food,Livonia,US,42.409455,-83.410277,Panera Bread,48152,Michigan
3135,1752 Michigan St,Fast Food Restaurant,Sidney,US,40.287876,-84.18001,Taco Bell,45365,Ohio
3136,1752 Michigan St,Mexican Restaurant and Fast Food Restaurant,Sidney,US,40.287876,-84.18001,Taco Bell,45365,Ohio
